tree_id,trunk_diam,status,health,spc_common,neighborhood
476573,5,Dead,,,Bushwick South
710946,4,Alive,Fair,London planetree,Bath Beach
547282,4,Alive,Good,sweetgum,Stapleton-Rosebank
5987,3,Alive,Good,honeylocust,Washington Heights North
669197,2,Alive,Good,northern red oak,Bensonhurst West
283104,7,Alive,Good,honeylocust,Seagate-Coney Island
31038,13,Alive,Good,European hornbeam,Hunters Point-Sunnyside-West Maspeth
36520,13,Alive,Good,northern red oak,Old Town-Dongan Hills-South Beach
357688,11,Alive,Good,Japanese zelkova,Westerleigh
488358,25,Alive,Fair,London planetree,Oakwood-Oakwood Beach
165461,8,Alive,Fair,silver linden,Greenpoint
656266,6,Alive,Good,ash,Kew Gardens Hills
48041,15,Alive,Good,Norway maple,Kingsbridge Heights
125425,7,Alive,Good,Callery pear,East Harlem South
178702,9,Alive,Good,crimson king maple,SI01
365459,5,Alive,Good,trident maple,Rossville-Woodrow
228728,0,Stump,,,Clinton Hill
251784,5,Alive,Good,Japanese zelkova,Melrose South-Mott Haven North
530491,15,Alive,Good,maple,Arden Heights
497277,18,Alive,Good,London planetree,New Springville-Bloomfield-Travis
418119,23,Alive,Poor,Norway maple,Richmond Hill
547666,5,Alive,Good,golden raintree,Woodside
501802,3,Alive,Fair,dawn redwood,Soundview-Castle Hill-Clason Point-Harding Park
275050,15,Alive,Good,Norway maple,Lindenwood-Howard Beach
80452,34,Alive,Good,northern red oak,34
246924,7,Alive,Good,Callery pear,Lincoln Square
220498,20,Alive,Good,London planetree,Windsor Terrace
125984,14,Alive,Good,honeylocust,Kensington-Ocean Parkway
64614,11,Alive,Good,black walnut,Lenox Hill-Roosevelt Island
539505,12,Alive,Good,ash,Todt Hill-Emerson Hill-Heartland Village-Lighthous
206443,18,Alive,Fair,pin oak,QN70
188855,13,Alive,Good,honeylocust,Park Slope-Gowanus
286685,10,Alive,Poor,green ash,MN36
507788,23,Alive,Good,sweetgum,Great Kills
346288,30,Alive,Good,black walnut,Williamsbridge-Olinville
229106,14,Alive,Good,littleleaf linden,Clinton Hill
722359,16,Alive,Good,Norway maple,South Ozone Park
600513,5,Alive,Good,London planetree,Bayside-Bayside Hills
69476,11,Alive,Good,Callery pear,Lower East Side
152363,4,Alive,Good,Norway maple,West Farms-Bronx River
473069,4,Alive,Fair,sweetgum,Mariner's Harbor-Arlington-Port Ivory-Graniteville
303023,12,Alive,Good,honeylocust,Schuylerville-Throgs Neck-Edgewater Park
208572,8,Alive,Good,Callery pear,Jackson Heights
701519,2,Alive,Good,pin oak,BK81
